Spotify URI,Energy,Danceability,Valence,Acousticness,Instrumentalness,Liveness,Speechiness,Tempo,Key,Mode,Time Signature,Loudness,Duration (ms),Genre,All Genres,Fetched At
spotify:track:1JLvr8qmZ6hQM7H6MsIqHV,,,,,,,,,,,,,111666,experimental hip hop,experimental hip hop; alternative hip hop; experimental hip hop; alternative hip hop; jazz rap; experimental hip hop; east coast hip hop; jazz rap; alternative hip hop,2025-11-14T09:04:48.818Z
spotify:track:1rjZicKSpIJ3WYffIK9Fuy,,,,,,,,,,,,,119047,,,2025-11-14T09:04:48.818Z
spotify:track:1TiV2G1C83c9AQNZbbMDDP,,,,,,,,,,,,,109053,emo,emo,2025-11-14T09:04:48.818Z
spotify:track:21Qsj3cMVCx2xF2EVVNbEu,,,,,,,,,,,,,110093,garage rock,garage rock; blues rock; rock; alternative rock,2025-11-14T09:04:48.818Z
spotify:track:2gNfxysfBRfl9Lvi9T3v6R,,,,,,,,,,,,,108546,neo-psychedelic,neo-psychedelic; indie,2025-11-14T09:04:48.818Z
spotify:track:3my33XXLpYUzVEeLOyftV2,,,,,,,,,,,,,115618,,,2025-11-14T09:04:48.818Z
spotify:track:4ELkYJjJpGXrh0tHtJ0Uav,,,,,,,,,,,,,97833,cloud rap,cloud rap; emo rap; horrorcore; trap metal; underground hip hop; cloud rap; emo rap; horrorcore,2025-11-14T09:04:48.818Z
spotify:track:5oD2Z1OOx1Tmcu2mc9sLY2,,,,,,,,,,,,,4933,grindcore,grindcore; death metal; metal; thrash metal,2025-11-14T09:04:48.818Z
spotify:track:5vwJ82xdkXpoty59jbAoW9,,,,,,,,,,,,,114386,stoner rock,stoner rock; alternative rock,2025-11-14T09:04:48.818Z
spotify:track:69F7HX0NulVaEcq8UeEVcK,,,,,,,,,,,,,77241,,,2025-11-14T09:04:48.818Z
spotify:track:6Jub05dvpbF4Im83NqMCUg,,,,,,,,,,,,,91226,,,2025-11-14T09:04:48.818Z
spotify:track:6S9lcjREUTU4Yv5y7oMcv2,,,,,,,,,,,,,119386,rockabilly,rockabilly,2025-11-14T09:04:48.818Z
spotify:track:717oSBYrcR8awQgUsmyE32,,,,,,,,,,,,,114666,punk,punk; skate punk,2025-11-14T09:04:48.818Z
spotify:track:7D9Yoasa4taTNAP0BTRdGL,,,,,,,,,,,,,72577,,,2025-11-14T09:04:48.818Z
spotify:track:7sEwg5LnC77gsi4JjjPQJ6,,,,,,,,,,,,,115206,math rock,math rock; mathcore; djent; progressive metal,2025-11-14T09:04:48.818Z
spotify:track:7tFQ3b5G5dju6FqoFtD2IR,,,,,,,,,,,,,102920,rockabilly,rockabilly; rock and roll,2025-11-14T09:04:48.818Z
spotify:track:0AX4LyIiMib6sAGYntUaK9,,,,,,,,,,,,,264457,post-hardcore,post-hardcore; metalcore,2025-11-14T09:04:48.818Z
spotify:track:0JiY190vktuhSGN6aqJdrt,,,,,,,,,,,,,215160,,,2025-11-14T09:04:48.818Z
spotify:track:0oWraSo5ASJ0h1BEagTyEw,,,,,,,,,,,,,225300,art pop,art pop; pop,2025-11-14T09:04:48.818Z
spotify:track:18DJQsejI5e1ZwO2wyuP2g,,,,,,,,,,,,,234476,,,2025-11-14T09:04:48.818Z
spotify:track:1D9HQactbJoUudf9B119Y5,,,,,,,,,,,,,231600,,,2025-11-14T09:04:48.818Z
spotify:track:1ixbwbeBi5ufN4noUKmW5a,,,,,,,,,,,,,205200,,,2025-11-14T09:04:48.818Z
spotify:track:1ShRHPAiiIrh0arZbSFmx1,,,,,,,,,,,,,253213,bedroom pop,bedroom pop,2025-11-14T09:04:48.818Z
spotify:track:1z6WtY7X4HQJvzxC4UgkSf,,,,,,,,,,,,,267413,,,2025-11-14T09:04:48.818Z
spotify:track:2am4mMmrFR9dPbmofFT0w0,,,,,,,,,,,,,243466,,,2025-11-14T09:04:48.818Z
spotify:track:2V4Bc2I962j7acQj1N0PiQ,,,,,,,,,,,,,162666,riot grrrl,riot grrrl; grunge,2025-11-14T09:04:48.818Z
spotify:track:3AwR0sYaAAr06zXDK1R3sF,,,,,,,,,,,,,207971,,,2025-11-14T09:04:48.818Z
spotify:track:401y3CGGbwRAOQP4jVdGc5,,,,,,,,,,,,,153800,riot grrrl,riot grrrl; punk,2025-11-14T09:04:48.818Z
spotify:track:4KfSdst7rW39C0sfhArdrz,,,,,,,,,,,,,261933,classic rock,classic rock; aor; rock,2025-11-14T09:04:48.818Z
spotify:track:5t8NXa2fugcTPsTfhVILmS,,,,,,,,,,,,,305571,metal,metal; djent; progressive metal; groove metal; metalcore,2025-11-14T09:04:48.818Z
spotify:track:5z0QlOV93W6Yo7DG2SYOJP,,,,,,,,,,,,,197209,pop punk,pop punk,2025-11-14T09:04:48.818Z
spotify:track:60rHc4AkLlP4XVSATvBb6K,,,,,,,,,,,,,183506,,,2025-11-14T09:04:48.818Z
spotify:track:6sxptembJVty4sNtcPMAVz,,,,,,,,,,,,,234493,country,country,2025-11-14T09:04:48.818Z
spotify:track:70eDxAyAraNTiD6lx2ZEnH,,,,,,,,,,,,,202173,,,2025-11-14T09:04:48.818Z
spotify:track:7Chqf4yGnQlLWAWic9b0ET,,,,,,,,,,,,,267986,symphonic metal,symphonic metal; gothic metal; gothic rock; power metal; metal,2025-11-14T09:04:48.818Z
spotify:track:0fX4oNGBWO3dSGUZcVdVV2,,,,,,,,,,,,,195950,hip hop,hip hop; west coast hip hop,2025-11-14T09:04:48.818Z
spotify:track:0vjYxBDAcflD0358arIVZG,,,,,,,,,,,,,187853,garage rock,garage rock; rock,2025-11-14T09:04:48.818Z
spotify:track:0zjB7ewBWnMgQDMQpFzt92,,,,,,,,,,,,,196200,,,2025-11-14T09:04:48.818Z
spotify:track:2DrMcGNKEY0FZqjMovGaCm,,,,,,,,,,,,,197506,nu metal,nu metal; rap metal; rock; alternative metal,2025-11-14T09:04:48.818Z
spotify:track:2haIaCgfAIpfAoqRZsCRZw,,,,,,,,,,,,,212093,glam metal,glam metal; glam rock; classic rock; country; classic country,2025-11-14T09:04:49.435Z
spotify:track:3dPQuX8Gs42Y7b454ybpMR,,,,,,,,,,,,,232106,garage rock,garage rock; blues rock; rock; alternative rock,2025-11-14T09:04:49.435Z
spotify:track:3h5zik31hTTat9jmpCZZNC,,,,,,,,,,,,,263573,alternative rock,alternative rock; rock,2025-11-14T09:04:49.435Z
spotify:track:3K4HG9evC7dg3N0R9cYqk4,,,,,,,,,,,,,157333,nu metal,nu metal; rap metal; rock; alternative metal,2025-11-14T09:04:49.435Z
spotify:track:3p3t4C8mvtZrFBRs6OE7eY,,,,,,,,,,,,,228333,metalcore,metalcore; metal,2025-11-14T09:04:49.435Z
spotify:track:3RGXI4Dye5QAzsdnv4BW2w,,,,,,,,,,,,,266506,,,2025-11-14T09:04:49.435Z
spotify:track:3v3VFa7Dt32gNR27jfw7DG,,,,,,,,,,,,,233818,math rock,math rock; djent; progressive metal; progressive rock,2025-11-14T09:04:49.435Z
spotify:track:42T2QQv3xgBlpQxaSP7lnK,,,,,,,,,,,,,238240,post-grunge,post-grunge,2025-11-14T09:04:49.435Z
spotify:track:4Mxef2s34ecbB6UtSdSf9E,,,,,,,,,,,,,310376,stoner rock,stoner rock,2025-11-14T09:04:49.435Z
spotify:track:5872goUpkJgh11uslHaa2G,,,,,,,,,,,,,189986,,,2025-11-14T09:04:49.435Z
spotify:track:5HfpfO2iSUZJBVbL7nsA6h,,,,,,,,,,,,,212626,electro swing,electro swing,2025-11-14T09:04:49.435Z
spotify:track:5QOBT97OmYCZo1W5u7tRrB,,,,,,,,,,,,,181545,stutter house,stutter house; house,2025-11-14T09:04:49.435Z
spotify:track:64yrDBpcdwEdNY9loyEGbX,,,,,,,,,,,,,321093,punk,punk; pop punk,2025-11-14T09:04:49.435Z
spotify:track:6AioOohg4bQZFA4jIYQQ2r,,,,,,,,,,,,,364520,progressive metal,progressive metal; alternative metal; progressive rock; metal,2025-11-14T09:04:49.435Z
spotify:track:0GONea6G2XdnHWjNZd6zt3,,,,,,,,,,,,,216053,,,2025-11-14T09:04:49.435Z
spotify:track:0qi4b1l0eT3jpzeNHeFXDT,,,,,,,,,,,,,220893,new wave,new wave; synthpop; darkwave,2025-11-14T09:04:49.435Z
spotify:track:0X1sqQ652p1sceKM2nJlIJ,,,,,,,,,,,,,230666,glam metal,glam metal; rock,2025-11-14T09:04:49.435Z
spotify:track:0YMFcrMtBowDdD5bPz0cgy,,,,,,,,,,,,,161600,,,2025-11-14T09:04:49.435Z
spotify:track:1Hv1VTm8zeOeybub15mA2R,,,,,,,,,,,,,258693,,,2025-11-14T09:04:49.435Z
spotify:track:1jDJFeK9x3OZboIAHsY9k2,,,,,,,,,,,,,183440,,,2025-11-14T09:04:49.435Z
spotify:track:1mCsF9Tw4AkIZOjvZbZZdT,,,,,,,,,,,,,184480,,,2025-11-14T09:04:49.435Z
spotify:track:1pTw2cNrp9L3esxLAvWnN2,,,,,,,,,,,,,323453,aor,aor; classic rock,2025-11-14T09:04:49.435Z
spotify:track:1VfAf8quz0k7e66QQgYOXF,,,,,,,,,,,,,175689,,,2025-11-14T09:04:49.435Z
spotify:track:2dCmGcEOQrMQhMMS8Vj7Ca,,,,,,,,,,,,,205466,funk,funk; motown; disco,2025-11-14T09:04:49.435Z
spotify:track:2mpdTbHtsUTbunJ62itq2E,,,,,,,,,,,,,517093,heavy metal,heavy metal; metal; hard rock; rock,2025-11-14T09:04:49.435Z
spotify:track:2MuWTIM3b0YEAskbeeFE1i,,,,,,,,,,,,,515386,metal,metal; thrash metal; rock; heavy metal; hard rock,2025-11-14T09:04:49.435Z
spotify:track:2tjb6V24kf6sDUdEFNf3m9,,,,,,,,,,,,,230560,power metal,power metal; heavy metal; metal; hard rock,2025-11-14T09:04:49.435Z
spotify:track:3cbV252akVZInSvJk7jAYX,,,,,,,,,,,,,237053,,,2025-11-14T09:04:49.435Z
spotify:track:4Ln6CP07DElm8ay1RxyYa9,,,,,,,,,,,,,237320,swedish pop,swedish pop,2025-11-14T09:04:49.435Z
spotify:track:5BCykgPXc7zEBg2oU0klvy,,,,,,,,,,,,,205360,,,2025-11-14T09:04:49.435Z
spotify:track:5XcZRgJv3zMhTqCyESjQrF,,,,,,,,,,,,,270080,glam rock,glam rock; hard rock; glam metal; proto-punk; classic rock,2025-11-14T09:04:49.435Z
spotify:track:6qUEOWqOzu1rLPUPQ1ECpx,,,,,,,,,,,,,310386,old school hip hop,old school hip hop; east coast hip hop; hip hop; classic rock; rock,2025-11-14T09:04:49.435Z
spotify:track:7cMQPvEEDqKRHzyYkJR3QY,,,,,,,,,,,,,226266,glam metal,glam metal,2025-11-14T09:04:49.435Z
spotify:track:09VW2o6EHSWwzCdhW4ARU1,,,,,,,,,,,,,142831,,,2025-11-14T09:04:49.435Z
spotify:track:0wYqzaaSzMK42KanTZaI88,,,,,,,,,,,,,161095,,,2025-11-14T09:04:49.435Z
spotify:track:11d9oUiwHuYt216EFA2tiz,,,,,,,,,,,,,271466,,,2025-11-14T09:04:49.435Z
spotify:track:1ACZpHI5vZ5Ea4xGlkdGWM,,,,,,,,,,,,,328666,,,2025-11-14T09:04:49.435Z
spotify:track:2KldK81uQyPpbJLwEekaLQ,,,,,,,,,,,,,201493,comedy,comedy,2025-11-14T09:04:49.435Z
spotify:track:3ebfDw8WEbf0DxGh47R2lo,,,,,,,,,,,,,269184,christian hip hop,christian hip hop,2025-11-14T09:04:49.435Z
spotify:track:3IA0UBjjGmCM9Xu8SzS7hD,,,,,,,,,,,,,209736,,,2025-11-14T09:04:49.435Z
spotify:track:3vZO25GdYuqFrR1kzZADnp,,,,,,,,,,,,,226933,east coast hip hop,east coast hip hop; neo soul,2025-11-14T09:04:49.436Z
spotify:track:47SJcoi329tD5TwD6m9CJ4,,,,,,,,,,,,,244693,hip hop,hip hop; east coast hip hop; rap; nu metal; rap metal; rock; alternative metal,2025-11-14T09:04:49.436Z
spotify:track:4aOvp1FN6lA5IjcnOWJsQu,,,,,,,,,,,,,236906,christian hip hop,christian hip hop; christian; christian pop; ccm; christian rock; christian hip hop; cedm; worship; christian alternative rock,2025-11-14T09:04:49.436Z
spotify:track:4CiVz4bw7X1zjCaJ5ZwxUS,,,,,,,,,,,,,203948,emo,emo; rap metal,2025-11-14T09:04:49.436Z
spotify:track:4dASQiO1Eoo3RJvt74FtXB,,,,,,,,,,,,,243490,rap,rap; rap; hip hop; trap soul,2025-11-14T09:04:49.436Z
spotify:track:503OTo2dSqe7qk76rgsbep,,,,,,,,,,,,,270586,g-funk,g-funk; west coast hip hop; gangster rap; hip hop; old school hip hop; rap; old school hip hop; g-funk; gangster rap; west coast hip hop; hip hop; rap,2025-11-14T09:04:49.436Z
spotify:track:5HQVUIKwCEXpe7JIHyY734,,,,,,,,,,,,,207333,g-funk,g-funk; west coast hip hop; gangster rap; hip hop; old school hip hop; rap; rap,2025-11-14T09:04:49.436Z
spotify:track:5HVpeBzmQHF9yL0ZBt0Rao,,,,,,,,,,,,,206807,glitch,glitch,2025-11-14T09:04:49.436Z
spotify:track:5rLyYxZNzca00ENADO9m54,,,,,,,,,,,,,196800,christian hip hop,christian hip hop,2025-11-14T09:04:49.436Z
spotify:track:6BDoYKMD9I4qJgXHtlY4ms,,,,,,,,,,,,,176947,trap metal,trap metal; horrorcore; trap metal; horrorcore; j-rap,2025-11-14T09:04:49.436Z
spotify:track:6e8Ou0wiqAzIpWb2eSxll8,,,,,,,,,,,,,197560,,,2025-11-14T09:04:50.142Z
spotify:track:7dyluIqv7QYVTXXZiMWPHW,,,,,,,,,,,,,205280,hip hop,hip hop; east coast hip hop; rap; nu metal; rap metal; rock; alternative metal,2025-11-14T09:04:50.142Z
spotify:track:0Q2bGwvx3oECbpe3W5yyBv,,,,,,,,,,,,,156176,polka,polka,2025-11-14T09:04:50.142Z
spotify:track:11HaTjMKcdbL4RvQjql4IU,,,,,,,,,,,,,158146,comedy,comedy,2025-11-14T09:04:50.142Z
spotify:track:1DapWGOWwFA24Fg5ab6znL,,,,,,,,,,,,,186359,outlaw country,outlaw country; country,2025-11-14T09:04:50.142Z
spotify:track:1gPRoX2iVsbJnkWBGrW7Kg,,,,,,,,,,,,,239349,post-punk,post-punk; egg punk,2025-11-14T09:04:50.142Z
spotify:track:1h97BSnSd64PJZrUlQl92H,,,,,,,,,,,,,109440,,,2025-11-14T09:04:50.142Z
spotify:track:1ia7SzrvrEQo0RYbAhVxXq,,,,,,,,,,,,,199714,,,2025-11-14T09:04:50.142Z
spotify:track:1xlPeQm5LICSUONSh6atX0,,,,,,,,,,,,,188181,,,2025-11-14T09:04:50.142Z
spotify:track:280Y9MmTJacpEVjCeqdyxz,,,,,,,,,,,,,149533,glam metal,glam metal; glam rock,2025-11-14T09:04:50.142Z
spotify:track:3KoxKGuJJQz1m1N1clnROk,,,,,,,,,,,,,139636,,,2025-11-14T09:04:50.142Z
spotify:track:3USOTQdPtZlgVurwaqsdI5,,,,,,,,,,,,,123666,comedy,comedy,2025-11-14T09:04:50.142Z
spotify:track:49iHYFjT5yO6WEw6KerX9o,,,,,,,,,,,,,206360,christmas,christmas,2025-11-14T09:04:50.142Z
spotify:track:4j6lDQ7Nl4ClcTtur36CMN,,,,,,,,,,,,,196840,,,2025-11-14T09:04:50.142Z
spotify:track:4YrHstsd94FtVYpl25thiM,,,,,,,,,,,,,156813,comedy,comedy,2025-11-14T09:04:50.142Z
spotify:track:5HOpkTTVcmZHnthgyxrIL8,,,,,,,,,,,,,213708,,,2025-11-14T09:04:50.142Z
spotify:track:60VtX59NsRINDnObbDtH7G,,,,,,,,,,,,,161053,comedy,comedy,2025-11-14T09:04:50.142Z
spotify:track:6DApR7ydoLVnRcwgAZvGzo,,,,,,,,,,,,,278918,acid rock,acid rock; garage rock; baroque pop; underground hip hop,2025-11-14T09:04:50.142Z
spotify:track:6WUeQiXtr5KQB4RT4fbr63,,,,,,,,,,,,,244826,comedy,comedy,2025-11-14T09:04:50.142Z
spotify:track:7dUCFnaGSWLH6SdDP08NLP,,,,,,,,,,,,,164933,sea shanties,sea shanties; comedy,2025-11-14T09:04:50.142Z
spotify:track:0ExL3yud4W6gVfG6brvGE3,,,,,,,,,,,,,193226,alternative rock,alternative rock,2025-11-14T09:04:50.142Z
spotify:track:0IktbUcnAGrvD03AWnz3Q8,,,,,,,,,,,,,189613,soft pop,soft pop; acoustic pop,2025-11-14T09:04:50.142Z
spotify:track:0voq3BUXS38G6fwNlTr2sH,,,,,,,,,,,,,230493,,,2025-11-14T09:04:50.142Z
spotify:track:0Z57YWES04xGh3AImDz6Qr,,,,,,,,,,,,,189293,,,2025-11-14T09:04:50.142Z
spotify:track:1AdYZ6X00nXmO613Y7GJOl,,,,,,,,,,,,,227250,pop punk,pop punk; punk; rock; skate punk; emo,2025-11-14T09:04:50.142Z
spotify:track:1mSxbLW7fKABfeY4lGpg0E,,,,,,,,,,,,,250440,mpb,mpb; nova mpb,2025-11-14T09:04:50.142Z
spotify:track:25FTMokYEbEWHEdss5JLZS,,,,,,,,,,,,,241666,,,2025-11-14T09:04:50.142Z
spotify:track:2GFExyKXf9383tSRSrEHEt,,,,,,,,,,,,,221466,neo soul,neo soul,2025-11-14T09:04:50.142Z
spotify:track:2Lumsra3kuU61wXkEKzKaK,,,,,,,,,,,,,152760,indie,indie,2025-11-14T09:04:50.142Z
spotify:track:2nUy0ifVE7UwtOK4rugFsP,,,,,,,,,,,,,298106,metalcore,metalcore; metal,2025-11-14T09:04:50.142Z
spotify:track:2VzIKcQrGL6O16YHGNDlyR,,,,,,,,,,,,,188081,,,2025-11-14T09:04:50.142Z
spotify:track:3vkCueOmm7xQDoJ17W1Pm3,,,,,,,,,,,,,137773,,,2025-11-14T09:04:50.142Z
spotify:track:3zJWuYVp9BGZNL7hHpXvyz,,,,,,,,,,,,,211924,,,2025-11-14T09:04:50.142Z
spotify:track:44G9fSM6qI8zRoG6Qwn3eq,,,,,,,,,,,,,231120,soft pop,soft pop,2025-11-14T09:04:50.142Z
spotify:track:4XYQtNf5BxGeAiwR0YU2Gn,,,,,,,,,,,,,186160,classic rock,classic rock; yacht rock; soft rock,2025-11-14T09:04:50.142Z
spotify:track:4yNk9iz9WVJikRFle3XEvn,,,,,,,,,,,,,209259,,,2025-11-14T09:04:50.142Z
spotify:track:6lFUdRItQEsEuD7dSINL47,,,,,,,,,,,,,231106,metalcore,metalcore; emo; screamo; rock; post-hardcore,2025-11-14T09:04:50.142Z
spotify:track:6qqrTXSdwiJaq8SO0X2lSe,,,,,,,,,,,,,186964,,,2025-11-14T09:04:50.142Z
spotify:track:754kgU5rWscRTfvlsuEwFp,,,,,,,,,,,,,208680,,,2025-11-14T09:04:50.142Z
spotify:track:0E0kfeUYrxB9mlv5vOSKU7,,,,,,,,,,,,,274285,drum and bass,drum and bass; liquid funk; drumstep; east coast hip hop; boom bap; old school hip hop,2025-11-14T09:04:50.142Z
spotify:track:0Mf6WhWLfOpzOxacvbcboj,,,,,,,,,,,,,296053,,,2025-11-14T09:04:50.142Z
spotify:track:0WbMK4wrZ1wFSty9F7FCgu,,,,,,,,,,,,,218423,,,2025-11-14T09:04:50.142Z
spotify:track:1gyee1JuFFiP476LQpRMYU,,,,,,,,,,,,,238400,alternative metal,alternative metal; nu metal; post-grunge,2025-11-14T09:04:50.142Z
spotify:track:1KCefM9CSkZRXFld6NSwal,,,,,,,,,,,,,202874,,,2025-11-14T09:04:50.142Z
spotify:track:1lGHekpbRzDCaWqn3PgLoH,,,,,,,,,,,,,161146,post-hardcore,post-hardcore; metalcore,2025-11-14T09:04:50.142Z
spotify:track:1p1QkQp5L6D9YNe61K9mvQ,,,,,,,,,,,,,217293,,,2025-11-14T09:04:50.142Z
spotify:track:1vkXc8Tz3dZGNZoU2WF3la,,,,,,,,,,,,,185454,edm,edm,2025-11-14T09:04:50.142Z
spotify:track:25CbtOzU8Pn17SAaXFjIR3,,,,,,,,,,,,,336440,rap metal,rap metal; rap rock; alternative metal; nu metal,2025-11-14T09:04:50.142Z
spotify:track:2aEuA8PSqLa17Y4hKPj5rr,,,,,,,,,,,,,226333,europop,europop; italo disco; eurodance,2025-11-14T09:04:50.142Z
spotify:track:3VIJBrMpvimHEw5wtPh2wB,,,,,,,,,,,,,233639,indie,indie,2025-11-14T09:04:50.142Z
spotify:track:44FcHS05J9VkzOBjmRFr1y,,,,,,,,,,,,,192529,,,2025-11-14T09:04:50.965Z
spotify:track:4C8BE3t81w312DkR750OnL,,,,,,,,,,,,,204163,,,2025-11-14T09:04:50.965Z
spotify:track:54jvLVojOWiQRubRfKmZ2k,,,,,,,,,,,,,219906,,,2025-11-14T09:04:50.965Z
spotify:track:5rgy6ghBq1eRApCkeUdJXf,,,,,,,,,,,,,250626,alternative r&b,alternative r&b,2025-11-14T09:04:50.965Z
spotify:track:6WiGRFQfx2qw49MA7OeDYK,,,,,,,,,,,,,178369,,,2025-11-14T09:04:50.965Z
spotify:track:7jDKJSjIjT93v7brsZDcoT,,,,,,,,,,,,,210296,industrial rock,industrial rock; industrial; industrial metal; alternative metal; nu metal,2025-11-14T09:04:50.965Z
spotify:track:0bTLGlCqwZXwJGWGE2Dywg,,,,,,,,,,,,,223880,grunge,grunge; rock,2025-11-14T09:04:50.965Z
spotify:track:0hCB0YR03f6AmQaHbwWDe8,,,,,,,,,,,,,333893,classic rock,classic rock; rock; hard rock; rock and roll,2025-11-14T09:04:50.965Z
spotify:track:0LBmvPJYmtEJ7kkWvc3kbT,,,,,,,,,,,,,161893,grunge,grunge; rock; post-grunge,2025-11-14T09:04:50.965Z
spotify:track:1jMaB19DiVR8OihLSuYFOt,,,,,,,,,,,,,246920,grunge,grunge; post-grunge; hard rock,2025-11-14T09:04:50.965Z
spotify:track:1ntxpzIUbSsizvuAy6lTYY,,,,,,,,,,,,,146573,psychedelic rock,psychedelic rock; classic rock; acid rock; blues rock,2025-11-14T09:04:50.965Z
spotify:track:2B8lQXfBQ2kC3QNRwFds6g,,,,,,,,,,,,,192506,,,2025-11-14T09:04:50.965Z
spotify:track:2ctH2HRZsDD4A78rHNGhqN,,,,,,,,,,,,,199600,nu metal,nu metal; funk rock; alternative metal; alternative rock,2025-11-14T09:04:50.965Z
spotify:track:2UWdUez9MB9yzL7Y81Mcip,,,,,,,,,,,,,315200,indie rock,indie rock; baroque pop,2025-11-14T09:04:50.965Z
spotify:track:31AOj9sFz2gM0O3hMARRBx,,,,,,,,,,,,,268426,jangle pop,jangle pop; alternative rock; rock,2025-11-14T09:04:50.965Z
spotify:track:4iCKnLmStgw3iyUztgNzi3,,,,,,,,,,,,,172260,celtic rock,celtic rock; celtic punk; celtic; folk punk,2025-11-14T09:04:50.965Z
spotify:track:61mWefnWQOLf90gepjOCb3,,,,,,,,,,,,,252613,nu metal,nu metal; metal; alternative metal; rap metal; heavy metal,2025-11-14T09:04:50.965Z
spotify:track:68OfR28SM9D06I3UfGC2p9,,,,,,,,,,,,,223089,metalcore,metalcore; metal; deathcore,2025-11-14T09:04:50.965Z
spotify:track:6h8TvDRaMTRfe2TIG6dqpH,,,,,,,,,,,,,289177,,,2025-11-14T09:04:50.965Z
spotify:track:6MjnU3lzNxI9pGz1XECsDw,,,,,,,,,,,,,226920,bluegrass,bluegrass; finnish rock,2025-11-14T09:04:50.965Z
spotify:track:72Z17vmmeQKAg8bptWvpVG,,,,,,,,,,,,,318026,glam rock,glam rock; art rock,2025-11-14T09:04:50.965Z
spotify:track:7iCSfoLBuenTKZoWIgqY9Q,,,,,,,,,,,,,188717,afrobeats,afrobeats; afrobeat; afropop; afroswing; dancehall; afropiano,2025-11-14T09:04:50.965Z
spotify:track:0GQ5bFTVFFKpwNPc7KwQnB,,,,,,,,,,,,,234653,rap,rap; hip hop,2025-11-14T09:04:50.965Z
spotify:track:0UaMYEvWZi0ZqiDOoHU3YI,,,,,,,,,,,,,226863,hip hop,hip hop,2025-11-14T09:04:50.965Z
spotify:track:1dzp7lsgNDCg2NQJyIwaZz,,,,,,,,,,,,,185357,dubstep,dubstep; edm; dub,2025-11-14T09:04:50.965Z
spotify:track:1nrWrZkGdSqz3UaDkv3Z35,,,,,,,,,,,,,228586,groove metal,groove metal; metal,2025-11-14T09:04:50.965Z
spotify:track:22L7bfCiAkJo5xGSQgmiIO,,,,,,,,,,,,,299613,rap,rap,2025-11-14T09:04:50.965Z
spotify:track:25qmm4JIi2JYsQBQ9Fm43B,,,,,,,,,,,,,225701,noise rock,noise rock; industrial; witch house; industrial rock; industrial metal; metalcore; deathstep,2025-11-14T09:04:50.965Z
spotify:track:2bLqfJjuC5syrsgDsZfGmn,,,,,,,,,,,,,179120,,,2025-11-14T09:04:50.965Z
spotify:track:2nRPe20CA8MXIITIMY3q8G,,,,,,,,,,,,,166613,,,2025-11-14T09:04:50.965Z
spotify:track:4bkn2I48urEzfZEuCSwr78,,,,,,,,,,,,,306368,,,2025-11-14T09:04:50.965Z
spotify:track:4J5bAXeFoRh7rCD88ZmhvH,,,,,,,,,,,,,211279,,,2025-11-14T09:04:50.965Z
spotify:track:4p4YWRwlMj6XFcHkOrAbG7,,,,,,,,,,,,,244426,roots rock,roots rock,2025-11-14T09:04:50.965Z
spotify:track:4UKJUbcuStnnxLeJmVJsSc,,,,,,,,,,,,,176561,moombahton,moombahton,2025-11-14T09:04:50.965Z
spotify:track:7CZyCXKG6d5ALeq41sLzbw,,,,,,,,,,,,,229573,metal,metal; glam metal; heavy metal; hard rock; rap,2025-11-14T09:04:50.965Z
spotify:track:7dm3cGVcTODdeXBJujYiXL,,,,,,,,,,,,,301320,progressive metal,progressive metal; progressive rock; symphonic metal; power metal; metal,2025-11-14T09:04:50.965Z
spotify:track:7hvO2qCwJVZxiyoA7c9i5d,,,,,,,,,,,,,209120,soft pop,soft pop; country; outlaw country,2025-11-14T09:04:50.965Z
spotify:track:7tWObLDZvkXipaTs2g5lVG,,,,,,,,,,,,,193912,pop punk,pop punk; midwest emo; punk,2025-11-14T09:04:50.965Z
spotify:track:0Dh7UaIMVrl3G091Y96zFn,,,,,,,,,,,,,123827,stoner rock,stoner rock; stoner metal; sludge metal; space rock,2025-11-14T09:04:50.965Z
spotify:track:0jY829pCMnstlNtaE72vSB,,,,,,,,,,,,,204786,metal,metal; nu metal; alternative metal; rap metal; hard rock,2025-11-14T09:04:50.965Z
spotify:track:1tecfydTJfh9cKUJV4d3vo,,,,,,,,,,,,,243061,,,2025-11-14T09:04:50.965Z
spotify:track:22ML0MuFKfw16WejbxsLOy,,,,,,,,,,,,,209360,aor,aor,2025-11-14T09:04:50.965Z
spotify:track:262RJtiqytpugV1UvDicN9,,,,,,,,,,,,,167533,emo,emo; pop punk,2025-11-14T09:04:50.965Z
spotify:track:2avKuMN2QXkaG9vvHa2JLt,,,,,,,,,,,,,321040,nu metal,nu metal; rap metal; alternative metal; rap rock,2025-11-14T09:04:50.965Z
spotify:track:2WRFD9WczJ975X2K1Y9YVs,,,,,,,,,,,,,221000,indie rock,indie rock,2025-11-14T09:04:50.965Z
spotify:track:2ygMBIctKIAfbEBcT9065L,,,,,,,,,,,,,213066,,,2025-11-14T09:04:50.965Z
spotify:track:3OcsJwdFNp5PI9p9to8FE3,,,,,,,,,,,,,235026,hard rock,hard rock; gothic rock; glam metal,2025-11-14T09:04:50.965Z
spotify:track:5gB2IrxOCX2j9bMnHKP38i,,,,,,,,,,,,,275640,country,country,2025-11-14T09:04:50.965Z
spotify:track:5NLuC70kZQv8q34QyQa1DP,,,,,,,,,,,,,208653,rap rock,rap rock; old school hip hop; east coast hip hop; hip hop,2025-11-14T09:04:50.965Z
spotify:track:6JymsaWDHk2Yj4e0yNBIFH,,,,,,,,,,,,,214946,,,2025-11-14T09:04:50.965Z
