ID,Created,Name,Description,Playlist URL
0fb080ea8c454e8ab6cc90e560b9d660,2025-10-09T08:18:47Z,2025 Bangers,"A song that you think is a banger, that got released in 2025 for the first time (no rereleased songs allowed)",https://open.spotify.com/playlist/3itb6FlDaxNj4snFKnGkGZ
2d8bf595da5941bb8fd28e05da64973d,2025-10-09T08:18:48Z,(In)tros before hoes,Songs that have a really good intro,https://open.spotify.com/playlist/2rv4C0mcBXSLUvA8a0GJVj
a9f4cf40e0f6452b9c2dd6e8a2796bd2,2025-10-09T08:18:48Z,Underground town,Songs where the artist has less than 10k monthly listeners,https://open.spotify.com/playlist/2CdhBCuX4r28EGbgvApgyD
ec0eae332ac04d9486d5da24302984b3,2025-10-09T08:18:49Z,Sampler Platter,Songs that samples another song,https://open.spotify.com/playlist/0Edh58abgjvORMs3TxeAM0
a0e6b253f56b43d3bb00ad24581bccc6,2025-10-09T08:18:50Z,Title Track,Songs that are also the title of the album they were originally released on,https://open.spotify.com/playlist/0CEnFpCtZJ8Gxa2hW8qPQG
